iranian_year,PIP_survey_period,workbook_input_GDP_PPP,workbook_line_IRR_exact,PIP_consumption_PPP_2021,survey_CPI_factor,authoritative_effective_factor_IRR_per_2021_intl_dollar,line_IRR_exact_30_day,line_IRR_nearest_30_day,recommended_line_IRR_exact_365_over_12,recommended_line_IRR_nearest,difference_from_workbook_IRR_exact,difference_from_workbook_percent,current_Stata_literal_IRR,difference_from_Stata_IRR_nearest,difference_from_Stata_percent,input_status
1398,2019-2020,23549.041015625,5863711.212890625,48021.04296875,0.5635554534167597,27062.520643799606555093359375,6738567.64030610203221824648437500,6738568,6832158.8575325756715546110188802083333333333333334,6832159,968447.6446419506715546110188802083333333333333334,16.515950555561832926760078040082226823841252308310,5863711,968448,16.515954785844249001265768706544513079401991901260,PIP survey-specific CPI factor
1399,2020-2021,32954.5859375,8205691.8984375,48021.04296875,0.7692581263071904,36940.577537457704960487500000,9198203.80682696853516138750000000,9198204,9325956.6374773430981497401041666666666666666666668,9325957,1120264.7390398430981497401041666666666666666666668,13.652288593155198861631522947865727358433585066020,8205691,1120266,13.652301036894310279898915327992080943173057170530,PIP survey-specific CPI factor
1400,2021-2022,50488.171875,12571554.796875002,48021.04296875,1.0785553259633645,51793.351652260889142818359375,12896544.56141296139656177148437500,12896545,13075663.235877030304847351643880208333333333333333,13075663,504108.439002028304847351643880208333333333333333,4.0099132298841668580481967155795027018556088319000,12571554,504109,4.0099198227763274520186736172807938726853763133300,PIP survey-specific CPI factor
1401,2022-2023,70968.082972096905,17671052.660052132,48021.04296875,1.589071344376989,76308.86330873671746774609375,19000906.9638754426494687773437500,19000907,19264808.449484823797378065917968750000000000000000,19264808,1593755.789432691797378065917968750000000000000000,9.0190200894800004620948156018219388336679779146100,17671052,1593756,9.0190241615769326997513555954039974530095887896200,PIP survey-specific CPI factor
1402,2023-2024,89391.812935857699,22258561.421028569,48021.04296875,2.2358304187730877,107366.908610740751097812109375,26734360.24407444702335521523437500,26734360,27105670.803019925454235148779296875000000000000000,27105671,4847109.381991356454235148779296875000000000000000,21.776382086454585162369957497631210129959017083140,22258561,4847110,21.776384389898005779597112227052211506395224740720,PIP survey-specific CPI factor
1403,2024-2025,117170.156249744,29175368.90618626,48021.04296875,2.9624753048743412025,142261.153909231495204601044921875,35423027.32339864230594566018554687500,35423027,35915013.814001401226861572132568359375000000000000,35915014,6739644.907815141226861572132568359375000000000000,23.100461658210897917675805768633650671876590811320,29175368,6739646,23.100465481708409734065983786625619855077749147840,provisional: PIP 1402 factor x SCI 1403 annual inflation 1.325
